id,assesslink
1079,6159
5004,4920
8617,9487
9293,10160
9295,9517
9322,17156
9359,8999
9364,10186
9543,9559
9960,10098
10743,12278
10831,25870
10887,26541
11522,19197
13058,12134
13103,34708
15498,25892
16836,25950
18799,27447
18816,27473
18844,27525
18865,27579
18871,27521
18878,27533
19217,27623
19238,27653
19254,27679
19261,27677
19267,27675
19283,27717
